Term,Year,Hgt,Wgt,Smoke,Hand,Sibs,Birth,Exercise,Greek,TV,GPA,Award,Pulse,Pierces,Gender,Sport,Tattoo,Facebook
F06,3,NAinches,NA pounds,No,r,1,1,1,No,1,NA,Olympic,90,2,F,NA,NA,NA
F06,1,70inches,185 pounds,No,r,3,3,12,Planning,8,NA,Olympic,46,0,M,NA,NA,NA
F06,4,68inches,140 pounds,No,r,0,1,12,No,5,3.3,Nobel,58,4,F,NA,NA,NA
F06,1,NAinches,124 pounds,No,r,3,1,10,No,5,NA,Olympic,60,2,F,NA,NA,NA
F06,2,68inches,145 pounds,No,r,8,8,14,No,2,2.9,Nobel,70,2,F,NA,NA,NA
F06,2,71inches,138 pounds,No,r,0,1,12,No,10,3.56,Nobel,65,0,M,NA,NA,NA
F06,4,65inches,125 pounds,No,l,2,2,15,No,2,3.35,Olympic,54,8,F,NA,NA,NA
F06,1,66inches,118 pounds,No,r,2,1,5,No,5,NA,Academy,76,3,F,NA,NA,NA
F06,1,69inches,170 pounds,No,r,2,2,15,No,5,NA,Olympic,57,0,M,NA,NA,NA
F06,2,69inches,134 pounds,No,r,4,1,18,No,4,2.5,Olympic,46,0,M,NA,NA,NA
F06,1,64inches,115 pounds,Occasionally,r,3,2,10,No,10,NA,Olympic,73,4,F,NA,NA,NA
F06,2,NAinches,182 pounds,Occasionally,r,2,1,10,No,NA,2.6,Olympic,60,NA,M,NA,NA,NA
F06,1,70inches,170 pounds,No,r,3,4,8,No,6,NA,Nobel,40,0,M,NA,NA,NA
F06,2,67inches,150 pounds,No,r,1,2,14,No,0,NA,Olympic,68,3,F,NA,NA,NA
F06,2,70inches,165 pounds,No,r,1,1,12,No,2,3.5,Olympic,75,0,M,NA,NA,NA
F06,2,60inches,140 pounds,No,r,2,3,7,No,2,3.47,Nobel,75,2,F,NA,NA,NA
F06,2,60inches,145 pounds,No,r,1,2,10,Planning,5,3.25,Olympic,81,2,F,NA,NA,NA
F06,2,66inches,128 pounds,No,r,3,3,10,Planning,6,3.4,Academy,72,2,F,NA,NA,NA
F06,4,NAinches,122 pounds,No,r,2,3,NA,No,NA,3.78,Academy,NA,2,F,NA,NA,NA
F06,1,71inches,194 pounds,No,r,2,1,10,No,6,NA,Olympic,72,0,M,NA,NA,NA
F06,2,67inches,215 pounds,No,r,0,1,1,No,3,3.4,Nobel,63,4,F,NA,NA,NA
F06,2,66inches,140 pounds,No,r,1,1,15,No,4,3,Olympic,68,6,F,NA,NA,NA
F06,2,71inches,155 pounds,No,r,2,2,18,No,5,2.65,Olympic,73,0,M,NA,NA,NA
F06,2,68inches,130 pounds,No,l,3,3,3,No,9,3.5,Nobel,71,4,F,NA,NA,NA
F06,2,70inches,180 pounds,No,l,0,1,10,No,5,3.33,NA,78,7,F,NA,NA,NA
F06,3,70inches,165 pounds,No,l,1,1,3,No,15,2.97,Nobel,73,0,M,NA,NA,NA
F06,2,62inches,135 pounds,No,r,1,1,10,No,2,3.9,NA,76,0,F,NA,NA,NA
F06,2,62inches,115 pounds,No,r,1,2,27,No,2,3.4,Nobel,64,9,F,NA,NA,NA
F06,3,67inches,150 pounds,No,r,2,2,20,No,2,2.9,NA,69,0,M,NA,NA,NA
F06,2,69inches,198 pounds,No,l,1,2,11,Planning,10,2.9,Nobel,71,0,M,NA,NA,NA
F06,2,70inches,155 pounds,No,r,1,1,27,No,2,2.9,Olympic,72,0,M,NA,NA,NA
F06,2,63inches,160 pounds,No,l,1,1,1,No,4,3,Nobel,76,4,F,NA,NA,NA
F06,1,68inches,165 pounds,No,r,2,2,15,No,16,NA,NA,62,0,M,NA,NA,NA
F06,2,63inches,120 pounds,No,r,0,1,11,No,20,2.89,Olympic,60,6,F,NA,NA,NA
F06,2,66inches,120 pounds,No,r,1,1,5,Planning,8,3.5,Nobel,68,2,F,NA,NA,NA
F06,2,65inches,130 pounds,Regular,r,2,3,12,No,5,2.9,Olympic,65,2,F,NA,NA,NA
F06,3,66inches,130 pounds,No,r,3,3,4,No,15,3.2,Nobel,55,0,M,NA,NA,NA
F06,2,70inches,186 pounds,No,r,3,2,1,No,1,NA,Nobel,86,7,F,NA,NA,NA
F06,4,69inches,170 pounds,Occasionally,l,1,1,5,No,25,3.3,Nobel,70,0,M,NA,NA,NA
F06,3,68inches,135 pounds,No,r,1,1,10,Yes,5,3.2,Nobel,61,0,M,NA,NA,NA
F06,4,73inches,200 pounds,No,l,2,1,15,No,5,3,Olympic,57,0,M,NA,NA,NA
F06,1,65inches,125 pounds,No,r,0,1,8,No,2,NA,Nobel,62,0,F,NA,NA,NA
F06,1,66inches,130 pounds,No,r,3,2,12,No,6,NA,NA,56,2,F,NA,NA,NA
F06,1,68inches,165 pounds,No,r,2,2,23,No,4,NA,Olympic,67,4,F,NA,NA,NA
F06,1,68inches,155 pounds,NA,l,3,4,2,Planning,3,NA,Olympic,98,0,M,NA,NA,NA
F06,2,72inches,159 pounds,No,r,3,1,NA,No,NA,3.4,Olympic,56,2,F,NA,NA,NA
F06,2,72inches,155 pounds,No,r,2,1,10,No,4,3.15,Olympic,56,2,F,NA,NA,NA
F06,1,NAinches,NA pounds,Occasionally,r,1,2,5,No,2,NA,Nobel,73,2,F,NA,NA,NA
F06,1,72inches,118 pounds,No,r,2,2,14,No,6,NA,Olympic,85,0,M,NA,NA,NA
F06,1,62inches,120 pounds,No,r,2,2,2,No,4,NA,Olympic,59,3,F,NA,NA,NA
F06,2,70inches,165 pounds,Occasionally,r,1,1,5,No,5,3.25,Olympic,70,0,M,NA,NA,NA
F06,1,71inches,200 pounds,No,r,1,1,14,No,7,NA,Nobel,61,0,M,NA,NA,NA
F06,1,67inches,140 pounds,No,r,4,1,11,No,4,NA,Olympic,78,2,F,NA,NA,NA
F06,1,63inches,118 pounds,No,r,0,1,NA,No,10,NA,Academy,92,6,F,NA,NA,NA
F06,1,74inches,180 pounds,No,r,1,2,NA,No,NA,NA,Nobel,48,0,M,NA,NA,NA
F06,1,72inches,175 pounds,No,r,1,1,18,Planning,2,NA,Olympic,64,0,M,NA,NA,NA
F06,1,71inches,180 pounds,No,r,1,2,24,No,2,NA,Olympic,76,0,M,NA,NA,NA
F06,2,72inches,195 pounds,No,r,2,3,10,No,10,3.1,Olympic,78,0,M,NA,NA,NA
F06,1,72inches,175 pounds,Occasionally,r,0,1,8,Planning,2,NA,Olympic,52,0,M,NA,NA,NA
F06,1,74inches,175 pounds,No,r,2,3,8,No,6,NA,Olympic,70,0,M,NA,NA,NA
F06,1,70inches,180 pounds,Occasionally,r,4,3,10,No,3,NA,Olympic,63,0,M,NA,NA,NA
F06,1,62inches,118 pounds,No,r,3,4,12,No,2,NA,Nobel,48,4,F,NA,NA,NA
F06,1,68inches,145 pounds,No,r,1,2,17,No,2,NA,Olympic,62,2,F,NA,NA,NA
F06,1,NAinches,186 pounds,No,r,1,1,2,No,2,NA,Olympic,59,0,M,NA,NA,NA
F06,1,73inches,225 pounds,No,r,0,1,7,No,3,NA,Olympic,68,0,M,NA,NA,NA
F06,1,70inches,215 pounds,No,r,1,1,20,No,1,NA,Olympic,58,0,M,NA,NA,NA
