Term,Year,Hgt,Wgt,Smoke,Hand,Sibs,Birth,Exercise,Greek,TV,GPA,Award,Pulse,Pierces,Gender,Sport,Tattoo,Facebook
F09,1,75inches,195 pounds,No,r,2,2,10,No,7,NA,Olympic,64,0,NA,NA,NA,NA
F09,2,64inches,122 pounds,No,r,2,1,8,No,4,2.5,Olympic,68,4,F,NA,NA,NA
F09,2,72inches,212 pounds,No,r,1,1,6,No,4,3,Nobel,72,0,M,NA,NA,NA
F09,1,68inches,145 pounds,No,r,2,3,7,No,9,NA,Olympic,58,4,F,NA,NA,NA
F09,1,64inches,126 pounds,No,r,3,3,6,No,4,NA,Academy,70,4,F,NA,NA,NA
F09,2,57inches,153 pounds,No,r,1,2,6,No,5,3.25,Nobel,62,6,F,NA,NA,NA
F09,1,59inches,165 pounds,No,r,4,4,8,No,2,3.75,Olympic,66,5,F,NA,NA,NA
F09,2,NAinches,129 pounds,No,r,2,3,4,No,6,2.7,Nobel,61,3,F,NA,NA,NA
F09,1,70inches,150 pounds,No,r,3,3,0,No,0,NA,Academy,52,0,M,NA,NA,NA
F09,2,71inches,155 pounds,No,r,1,1,8,No,8,3,Olympic,84,0,M,NA,NA,NA
F09,1,63inches,110 pounds,No,r,1,1,4,No,7,NA,Nobel,84,2,F,NA,NA,NA
F09,2,75inches,225 pounds,No,l,1,1,30,No,4,2.75,Olympic,74,0,M,NA,NA,NA
F09,3,67inches,116 pounds,No,r,2,2,10,No,3,3.94,Olympic,60,3,F,NA,NA,NA
F09,1,66inches,150 pounds,Occasionally,r,1,2,5,Planning,2,NA,Olympic,67,3,F,NA,NA,NA
S10,1,68inches,300 pounds,No,r,0,1,2,No,10,3,Nobel,78,2,F,NA,NA,NA
S10,1,69inches,200 pounds,No,r,4,2,4,No,20,2.07,Nobel,86,0,M,NA,NA,NA
S10,3,72inches,138 pounds,No,r,3,1,5,No,3,NA,Nobel,75,5,F,NA,NA,NA
S10,2,66inches,145 pounds,No,r,1,1,10,No,5,3.4,Nobel,59,3,NA,NA,NA,NA
S10,2,60inches,110 pounds,NA,r,2,2,4,No,2,3.17,Nobel,64,14,F,NA,NA,NA
S10,NA,64inches,NA pounds,No,r,1,2,7,Yes,7,NA,Nobel,NA,3,F,NA,NA,NA
S10,1,60inches,160 pounds,No,r,1,1,4,No,4,3,Nobel,64,3,F,NA,NA,NA
S10,2,78inches,205 pounds,Occasionally,r,1,1,10,No,7,3.1,Olympic,67,0,M,NA,NA,NA
S10,2,73inches,187 pounds,No,r,1,1,6,No,2,3.38,Nobel,68,0,M,NA,NA,NA
S10,2,67inches,125 pounds,No,r,1,2,11,No,1,3.64,Nobel,63,5,F,NA,NA,NA
S10,NA,69inches,150 pounds,No,r,1,1,8,No,5,3.5,Nobel,80,0,F,NA,NA,NA
S10,1,66inches,104 pounds,No,r,3,4,3,No,2,3.07,Olympic,80,4,F,NA,NA,NA
S10,1,64inches,125 pounds,No,r,1,2,6,No,6,NA,Olympic,78,2,F,NA,NA,NA
S10,1,72inches,155 pounds,No,r,2,3,7,No,0,3.9,Nobel,45,0,M,NA,NA,NA
S10,1,65inches,135 pounds,No,r,1,1,5,No,2,3.5,Nobel,87,5,F,NA,NA,NA
S10,1,64inches,130 pounds,No,r,2,2,5,No,2,4,Nobel,68,4,F,NA,NA,NA
S10,2,68inches,160 pounds,No,r,1,1,20,No,5,2.6,Nobel,61,0,M,NA,NA,NA
S10,3,73inches,175 pounds,No,r,1,1,21,No,8,3.56,Olympic,55,2,M,NA,NA,NA
S10,1,70inches,155 pounds,Occasionally,r,3,3,4,No,8,3.2,Olympic,60,0,M,NA,NA,NA
S10,1,72inches,187 pounds,Occasionally,r,1,2,18,No,7,3.35,Olympic,57,2,M,NA,NA,NA
S10,1,65inches,142 pounds,No,r,2,2,2,No,1,3.1,Olympic,71,2,F,NA,NA,NA
S10,1,73inches,207 pounds,No,r,2,1,20,No,4,3.1,Olympic,59,0,M,NA,NA,NA
S10,2,72inches,180 pounds,No,r,1,1,5,No,0,3.43,Nobel,63,0,M,NA,NA,NA
S10,2,71inches,180 pounds,No,l,4,5,8,No,4,2.9,Nobel,75,0,M,NA,NA,NA
S10,2,64inches,124 pounds,No,r,1,1,3,Yes,6,3,Olympic,74,5,F,NA,NA,NA
S10,1,66inches,140 pounds,No,r,2,2,6,No,3,3.79,Nobel,90,2,F,NA,NA,NA
S10,2,70inches,150 pounds,Occasionally,r,1,2,12,Yes,4,3.1,Olympic,NA,0,M,NA,NA,NA
S10,2,62inches,115 pounds,No,r,1,1,3,No,2,3.6,Nobel,NA,2,F,NA,NA,NA
S10,1,71inches,160 pounds,No,r,3,2,20,No,25,2.9,Olympic,58,0,M,NA,NA,NA
S10,1,63inches,135 pounds,Occasionally,r,2,1,7,No,4,2.8,Olympic,62,6,F,NA,NA,NA
S10,1,NAinches,NA pounds,Occasionally,r,9,6,NA,No,NA,NA,Nobel,NA,NA,M,NA,NA,NA
S10,1,65inches,140 pounds,No,l,2,2,7,No,2,3.5,Olympic,72,2,F,NA,NA,NA
S10,1,74inches,190 pounds,No,r,2,2,10,No,12,2.38,Olympic,NA,0,M,NA,NA,NA
S10,2,72inches,180 pounds,NA,r,3,2,15,No,2,3.47,Academy,60,0,M,NA,NA,NA
S10,1,62inches,125 pounds,No,r,6,2,12,No,2,3.11,Olympic,NA,0,F,NA,NA,NA
S10,1,66inches,140 pounds,No,r,1,2,5,No,1,3,Olympic,60,4,F,NA,NA,NA
S10,1,64inches,165 pounds,Occasionally,r,2,1,7,No,10,3.06,Olympic,74,4,F,NA,NA,NA
S10,4,72inches,298 pounds,No,r,1,2,0,No,40,2.16,Nobel,88,2,F,NA,NA,NA
S10,2,85inches,150 pounds,No,r,3,1,1,No,6,NA,Academy,40,0,M,NA,NA,NA
S10,1,70inches,170 pounds,Occasionally,r,1,2,10,No,2,3,Olympic,68,0,M,NA,NA,NA
S10,1,72inches,185 pounds,No,l,0,1,12,No,10,3,Olympic,54,0,M,NA,NA,NA
S10,1,68inches,180 pounds,No,l,2,1,7,No,21,2.5,Olympic,75,0,M,NA,NA,NA
S10,1,66inches,115 pounds,No,r,2,2,3,No,0,2.64,Olympic,84,2,F,NA,NA,NA
S10,1,67inches,130 pounds,No,r,1,1,8,Planning,5,3,Olympic,70,4,F,NA,NA,NA
S10,1,63inches,125 pounds,Occasionally,r,2,3,2,No,1,3,Academy,74,2,F,NA,NA,NA
S10,1,75inches,205 pounds,Occasionally,r,1,2,8,No,3,2.8,Nobel,65,1,M,NA,NA,NA
S10,1,70inches,170 pounds,No,r,4,4,20,No,2,1.8,Olympic,78,0,M,NA,NA,NA
S10,2,70inches,152 pounds,No,r,4,5,30,No,20,2.3,Olympic,74,0,M,NA,NA,NA
S10,1,69inches,135 pounds,No,r,2,2,9,No,1,2,Olympic,60,2,F,NA,NA,NA
S10,1,73inches,160 pounds,No,l,2,1,12,No,1,2.2,Olympic,65,0,M,NA,NA,NA
S10,1,62inches,130 pounds,No,r,0,NA,30,No,1,2.5,Olympic,56,3,F,NA,NA,NA
S10,1,62inches,147 pounds,No,r,1,1,14,No,3,3.2,Olympic,45,2,F,NA,NA,NA
S10,1,69inches,145 pounds,Occasionally,r,2,1,20,No,15,3.5,Olympic,55,0,M,NA,NA,NA
S10,1,65inches,150 pounds,No,l,1,2,14,No,4,NA,Olympic,NA,0,F,NA,NA,NA
S10,2,73inches,195 pounds,No,r,1,1,8,No,3,3,Olympic,76,0,M,NA,NA,NA
S10,1,63inches,139 pounds,No,r,1,1,12,No,5,3.4,Nobel,72,2,F,NA,NA,NA
S10,2,69inches,135 pounds,No,l,3,4,3,No,4,3.3,Nobel,81,4,F,NA,NA,NA
S10,2,66inches,160 pounds,No,r,2,3,14,No,5,3.2,Academy,NA,5,F,NA,NA,NA
S10,1,68inches,145 pounds,No,r,2,1,18,No,4,2.8,Olympic,66,2,F,NA,NA,NA
S10,2,74inches,175 pounds,No,r,2,3,10,No,2,3.5,Nobel,120,0,M,NA,NA,NA
S10,1,65inches,130 pounds,No,r,1,2,18,No,4,2.9,Olympic,56,2,F,NA,NA,NA
S10,1,62inches,120 pounds,No,r,1,2,14,No,2,3.82,Olympic,68,4,F,NA,NA,NA
S10,2,68inches,145 pounds,No,l,4,1,4,No,1,3.3,Olympic,NA,0,M,NA,NA,NA
S10,1,69inches,150 pounds,No,r,2,3,14,No,8,3.52,Olympic,62,3,F,NA,NA,NA
S10,2,64inches,NA pounds,No,r,2,1,3,No,7,NA,Nobel,96,4,F,NA,NA,NA
S10,1,69inches,138 pounds,No,r,1,2,6,No,0,3.6,Nobel,NA,3,F,NA,NA,NA
S10,1,67inches,150 pounds,No,r,2,3,6,No,3,3,Olympic,NA,3,F,NA,NA,NA
S10,2,69inches,165 pounds,No,r,1,2,7,No,5,2.55,Olympic,66,3,F,NA,NA,NA
S10,1,68inches,135 pounds,No,r,1,1,9,No,6,3.96,Olympic,NA,2,F,NA,NA,NA
S10,1,61inches,97 pounds,No,r,1,1,8,Planning,3,3.5,Olympic,67,2,F,NA,NA,NA
S10,1,62inches,163 pounds,No,r,1,1,21,No,12,3,Olympic,68,8,F,NA,NA,NA
S10,1,66inches,120 pounds,No,r,2,1,3,No,6,3.1,Academy,80,4,F,NA,NA,NA
S10,1,52inches,118 pounds,No,r,2,3,9,Planning,2,3.44,Nobel,60,2,F,NA,NA,NA
S10,2,70inches,185 pounds,No,r,1,1,18,No,4,3,Olympic,64,0,M,NA,NA,NA
S10,2,73inches,145 pounds,No,r,4,2,12,Yes,1,3.4,Olympic,66,0,F,NA,NA,NA
S10,3,53inches,116 pounds,No,l,1,2,7,No,2,2.9,Olympic,60,2,F,NA,NA,NA
S10,2,NAinches,NA pounds,Occasionally,l,1,NA,5,No,20,2.8,Olympic,NA,4,F,NA,NA,NA
S10,2,71inches,190 pounds,No,r,4,4,10,No,7,3.3,Olympic,62,0,M,NA,NA,NA
S10,3,74inches,180 pounds,No,r,1,2,10,Yes,20,3.1,Nobel,NA,0,M,NA,NA,NA
S10,2,65inches,145 pounds,No,r,4,2,5,No,3,3.34,Nobel,79,5,F,NA,NA,NA
S10,3,72inches,170 pounds,Occasionally,r,1,1,3,No,10,2.4,Olympic,72,2,M,NA,NA,NA
S10,2,72inches,160 pounds,No,r,2,2,4,No,21,3.7,Academy,60,0,M,NA,NA,NA
S10,2,71inches,195 pounds,No,r,2,2,15,No,5,3.75,Olympic,60,0,M,NA,NA,NA
S10,2,62inches,124 pounds,Occasionally,r,3,3,7,Yes,14,3.72,Nobel,68,5,F,NA,NA,NA
S10,3,69inches,140 pounds,No,r,2,1,4,No,5,3.17,Nobel,130,2,F,NA,NA,NA
S10,NA,63inches,120 pounds,No,r,2,1,4,Yes,9,3.8,Nobel,74,7,F,NA,NA,NA
S10,2,67inches,145 pounds,No,r,2,3,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA
S10,2,54inches,145 pounds,No,r,3,3,7,No,3,3,Olympic,NA,2,F,NA,NA,NA
S10,2,60inches,135 pounds,No,r,2,1,2,No,1,NA,Nobel,NA,2,F,NA,NA,NA
S10,3,NAinches,NA pounds,No,r,1,1,4,No,1,2.6,Nobel,NA,6,F,NA,NA,NA
S10,3,72inches,190 pounds,No,r,2,2,6,No,3,2.7,Olympic,60,0,M,NA,NA,NA
S10,2,71inches,130 pounds,No,r,1,1,4,No,1,3.4,Olympic,64,0,M,NA,NA,NA
S10,4,74inches,240 pounds,No,r,0,1,6,Yes,3,3.3,Olympic,70,0,M,NA,NA,NA
S10,2,66inches,120 pounds,No,r,1,1,6,No,7,3.2,Olympic,82,3,F,NA,NA,NA
S10,4,61inches,100 pounds,No,r,2,3,1,No,3,NA,Nobel,NA,7,F,NA,NA,NA
S10,3,73inches,210 pounds,No,r,1,2,15,Yes,10,3,Olympic,84,0,M,NA,NA,NA
S10,2,66inches,180 pounds,No,r,2,2,7,No,4,2.9,Nobel,70,3,F,NA,NA,NA
S10,2,67inches,145 pounds,No,r,2,3,10,No,5,2.84,Nobel,75,5,F,NA,NA,NA
S10,3,72inches,238 pounds,Occasionally,r,1,2,12,No,8,2.75,Nobel,NA,0,NA,NA,NA,NA
S10,2,70inches,168 pounds,No,l,0,1,6,No,8,3.41,Nobel,74,0,M,NA,NA,NA
S10,4,70inches,160 pounds,No,r,0,1,8,No,0,3.86,Nobel,60,3,F,NA,NA,NA
S10,4,69inches,168 pounds,No,r,2,3,10,Yes,4,3.4,Olympic,72,0,M,NA,NA,NA
S10,2,76inches,188 pounds,No,r,6,4,13,No,1,NA,Olympic,60,0,M,NA,NA,NA
S10,1,73inches,183 pounds,Occasionally,l,2,3,25,No,20,NA,Olympic,NA,0,M,NA,NA,NA
S10,1,64inches,150 pounds,No,l,1,2,6,No,2,3.8,Nobel,NA,5,F,NA,NA,NA
S10,1,62inches,135 pounds,No,r,1,1,12,No,4,2.94,Olympic,NA,4,F,NA,NA,NA
S10,1,68inches,127 pounds,No,r,1,2,10,No,2,3,Olympic,NA,2,F,NA,NA,NA
S10,1,74inches,250 pounds,No,l,4,5,14,No,4,2.55,Olympic,45,0,M,NA,NA,NA
S10,1,70inches,185 pounds,No,r,2,1,14,No,3,2.3,Olympic,NA,2,M,NA,NA,NA
S10,2,73inches,195 pounds,No,l,2,3,15,No,7,3.2,Olympic,58,0,M,NA,NA,NA
S10,2,70inches,148 pounds,No,r,1,2,10,No,10,2.9,Nobel,56,4,F,NA,NA,NA
S10,2,70inches,180 pounds,No,r,2,2,20,No,4,2.4,Olympic,60,0,M,NA,NA,NA
S10,1,70inches,135 pounds,No,r,1,1,4,No,2,3.4,Nobel,50,3,F,NA,NA,NA
S10,2,68inches,155 pounds,No,r,1,2,4,Yes,12,2.72,Nobel,70,2,F,NA,NA,NA
S10,4,66inches,120 pounds,No,r,0,NA,5,Yes,5,3.1,Nobel,72,6,F,NA,NA,NA
S10,1,68inches,140 pounds,Occasionally,r,2,3,14,No,2,3.19,Olympic,60,3,F,NA,NA,NA
S10,1,66inches,140 pounds,No,r,2,2,14,No,6,2.4,Nobel,62,2,F,NA,NA,NA
S10,1,66inches,123 pounds,Occasionally,r,1,1,14,No,2,2.9,Academy,66,5,F,NA,NA,NA
S10,1,73inches,270 pounds,No,r,3,2,2,Planning,7,NA,Olympic,89,0,M,NA,NA,NA
S10,1,63inches,135 pounds,No,r,3,3,14,Planning,5,2.68,Olympic,75,5,F,NA,NA,NA
S10,1,71inches,165 pounds,No,r,1,2,8,Yes,3,3,Olympic,82,0,M,NA,NA,NA
S10,1,67inches,210 pounds,No,r,2,3,2,No,0,3.9,Nobel,50,0,F,NA,NA,NA
S10,1,64inches,107 pounds,No,r,1,1,14,No,3,2.68,Olympic,61,9,F,NA,NA,NA
S10,1,72inches,165 pounds,No,r,0,NA,9,No,2,3.19,Nobel,64,0,M,NA,NA,NA
S10,1,73inches,178 pounds,No,r,2,3,20,No,12,3,Academy,75,0,M,NA,NA,NA
S10,2,67inches,152 pounds,No,r,2,1,3,No,6,3.52,Nobel,NA,0,M,NA,NA,NA
S10,2,75inches,200 pounds,No,r,2,1,21,No,6,3.37,Academy,NA,0,M,NA,NA,NA
F10,4,69inches,156 pounds,No,l,4,2,15,No,10,3.34,Academy,NA,3,F,NA,NA,NA
F10,2,64inches,150 pounds,No,r,0,1,5,No,50,3.25,Nobel,NA,8,F,NA,NA,NA
F10,1,70inches,186 pounds,No,l,1,2,10,No,2,NA,Olympic,76,0,M,NA,NA,NA
F10,1,68inches,136 pounds,No,r,1,2,12,No,8,NA,Nobel,84,4,F,NA,NA,NA
F10,1,67inches,135 pounds,No,r,2,3,2,No,6,NA,Nobel,92,0,F,NA,NA,NA
F10,1,69inches,150 pounds,Occasionally,r,1,1,7,No,2,NA,Nobel,64,0,M,NA,NA,NA
F10,1,73inches,210 pounds,No,r,2,1,15,Planning,3,NA,Olympic,67,0,M,NA,NA,NA
F10,2,71inches,195 pounds,No,r,2,2,30,No,21,3.1,Olympic,74,0,M,NA,NA,NA
F10,1,65inches,140 pounds,No,r,0,1,1,No,2,NA,Nobel,96,5,F,NA,NA,NA
F10,1,68inches,128 pounds,No,l,2,3,9,No,3,NA,Academy,62,5,F,NA,NA,NA
F10,1,62inches,122 pounds,No,r,1,1,12,No,NA,NA,Nobel,54,0,F,NA,NA,NA
F10,1,66inches,140 pounds,No,r,2,1,4,No,3,NA,Academy,NA,2,F,NA,NA,NA
F10,1,73inches,180 pounds,No,r,0,NA,15,No,3,NA,Olympic,62,0,M,NA,NA,NA
F10,1,71inches,135 pounds,No,r,2,1,12,No,3,NA,Olympic,72,2,F,NA,NA,NA
F10,3,65inches,130 pounds,No,r,3,3,0,No,13,3.8,Nobel,88,3,F,NA,NA,NA
F10,1,72inches,194 pounds,No,r,4,5,9,No,8,NA,Nobel,60,0,M,NA,NA,NA
F10,1,69inches,133 pounds,No,l,2,3,12,No,6,NA,Nobel,74,0,F,NA,NA,NA
F10,1,72inches,190 pounds,No,r,2,2,6,No,4,NA,Olympic,68,0,M,NA,NA,NA
F10,3,68inches,152 pounds,No,r,2,3,18,No,1,3.81,Nobel,74,5,F,NA,NA,NA
F10,3,68inches,230 pounds,No,r,2,1,NA,No,NA,3.19,Nobel,96,0,M,NA,NA,NA
F10,1,58inches,118 pounds,No,r,3,3,25,No,2,NA,Olympic,76,2,F,NA,NA,NA
F10,1,67inches,150 pounds,No,r,2,2,7,No,3,NA,Academy,64,3,F,NA,NA,NA
F10,1,64inches,103 pounds,No,r,3,1,6,No,6,NA,Nobel,96,6,F,NA,NA,NA
F10,1,72inches,160 pounds,No,r,3,4,10,No,1,3.25,Academy,72,0,M,NA,NA,NA
F10,2,80inches,130 pounds,No,r,3,3,9,No,10,NA,Nobel,66,4,F,NA,NA,NA
F10,2,64inches,150 pounds,No,r,0,1,5,No,50,3.25,Nobel,80,8,F,NA,NA,NA
F10,3,70inches,150 pounds,Occasionally,r,1,2,5,No,1,3,Nobel,NA,2,F,NA,NA,NA
F10,3,70inches,173 pounds,No,r,0,1,6,No,4,3.1,Academy,70,0,M,NA,NA,NA
F10,1,70inches,185 pounds,No,r,2,2,5,No,5,NA,Olympic,NA,0,M,NA,NA,NA
F10,2,NAinches,135 pounds,No,r,1,2,10,Planning,5,NA,Olympic,60,3,F,NA,NA,NA
F10,2,66inches,150 pounds,Occasionally,l,3,4,12,No,2,2.6,Olympic,120,2,NA,NA,NA,NA
F10,2,69inches,148 pounds,No,r,1,2,4,No,10,3.7,Nobel,80,2,F,NA,NA,NA
F10,2,71inches,160 pounds,No,l,1,2,4,No,0,3.33,Nobel,70,0,M,NA,NA,NA
F10,3,67inches,170 pounds,No,r,0,1,40,No,10,3.2,Olympic,52,0,M,NA,NA,NA
F10,3,68inches,148 pounds,No,r,2,3,5,No,4,2.78,Nobel,64,2,M,NA,NA,NA
F10,2,67inches,135 pounds,No,r,0,NA,7,No,4,3.7,Olympic,70,3,F,NA,NA,NA
F10,2,69inches,145 pounds,No,r,2,2,10,Planning,3,3.08,NA,66,3,F,NA,NA,NA
F10,2,66inches,132 pounds,No,r,2,2,8,No,6,3.2,Olympic,98,2,F,NA,NA,NA
F10,2,68inches,140 pounds,No,r,1,1,10,Planning,5,3.6,Olympic,88,8,F,NA,NA,NA
F10,2,69inches,150 pounds,No,r,1,1,7,No,1,3.9,Academy,86,2,F,NA,NA,NA
F10,3,77inches,215 pounds,Occasionally,l,1,2,15,No,25,3.1,Academy,68,0,M,NA,NA,NA
F10,1,63inches,140 pounds,No,r,1,1,10,No,3,NA,Olympic,56,2,F,NA,NA,NA
F10,2,65inches,135 pounds,Occasionally,r,3,1,5,No,2,3.44,Academy,64,4,F,NA,NA,NA
F10,1,62inches,130 pounds,No,r,0,1,2,No,2,NA,Olympic,86,3,F,NA,NA,NA
F10,2,61inches,118 pounds,No,r,0,1,7,No,3,2.8,Olympic,74,3,F,NA,NA,NA
F10,2,64inches,117 pounds,No,r,1,1,1,No,1,3.66,Academy,96,0,M,NA,NA,NA
F10,3,71inches,135 pounds,No,r,1,1,4,No,1,3.4,Olympic,60,0,M,NA,NA,NA
F10,1,66inches,155 pounds,No,r,2,3,5,No,12,NA,Nobel,90,0,M,NA,NA,NA
F10,2,71inches,250 pounds,No,r,1,1,12,No,7,3.27,Olympic,50,0,M,NA,NA,NA
F10,2,64inches,135 pounds,No,l,1,1,12,No,2,3.4,Olympic,72,6,F,NA,NA,NA
F10,2,68inches,150 pounds,Regular,l,0,NA,5,No,3,2.56,Academy,64,9,M,NA,NA,NA
F10,3,66inches,154 pounds,No,r,2,3,8,No,5,3.55,Olympic,78,6,F,NA,NA,NA
F10,4,69inches,165 pounds,No,l,0,1,12,No,20,3.23,Nobel,76,0,M,NA,NA,NA
F10,4,70inches,185 pounds,Regular,r,3,1,10,Yes,24,3,Olympic,56,0,M,NA,NA,NA
F10,1,69inches,140 pounds,No,r,2,3,2,No,8,4,Nobel,87,2,F,NA,NA,NA
F10,1,74inches,185 pounds,No,r,3,2,9,No,1,NA,Nobel,73,0,M,NA,NA,NA
F10,1,62inches,105 pounds,No,r,1,1,2,No,2,NA,Nobel,71,6,F,NA,NA,NA
F10,2,60inches,130 pounds,No,l,2,1,12,No,3,3,Olympic,65,2,F,NA,NA,NA
F10,2,70inches,230 pounds,No,r,1,1,10,No,3,2.8,Olympic,75,0,M,NA,NA,NA
F10,1,74inches,203 pounds,No,r,1,1,20,No,5,NA,Olympic,75,0,M,NA,NA,NA
F10,1,NAinches,175 pounds,No,r,1,2,16,Planning,5,NA,Nobel,66,0,M,NA,NA,NA
F10,2,68inches,155 pounds,No,r,1,NA,21,No,5,NA,Olympic,70,4,F,NA,NA,NA
F10,2,67inches,135 pounds,No,r,1,1,12,No,4,2.9,Olympic,82,3,F,NA,NA,NA
F10,1,72inches,200 pounds,No,r,0,NA,20,No,5,NA,Academy,65,2,M,NA,NA,NA
F10,2,67inches,148 pounds,Occasionally,r,1,2,10,Planning,5,2.7,Nobel,130,0,M,NA,NA,NA
F10,4,68inches,148 pounds,No,r,1,2,4,No,1,3.35,Nobel,72,5,F,NA,NA,NA
F10,2,72inches,200 pounds,No,r,2,1,5,No,3,NA,Olympic,51,0,M,NA,NA,NA
F10,1,68inches,145 pounds,No,r,2,2,10,No,2,NA,Olympic,89,2,F,NA,NA,NA
F10,2,73inches,190 pounds,Occasionally,l,1,2,20,No,5,3.2,Olympic,71,0,M,NA,NA,NA
F10,3,72inches,168 pounds,No,r,2,2,12,No,5,3.4,Olympic,54,4,F,NA,NA,NA
F10,1,73inches,185 pounds,No,r,3,3,10,No,3,NA,Olympic,55,0,M,NA,NA,NA
F10,2,68inches,180 pounds,No,r,1,1,10,No,5,2.75,Olympic,48,0,M,NA,NA,NA
F10,2,68inches,155 pounds,No,l,1,1,6,NA,2,2.4,Olympic,78,0,M,NA,NA,NA
F10,2,66inches,130 pounds,No,r,2,2,4,No,1,3.4,Olympic,53,2,F,NA,NA,NA
F10,2,NAinches,150 pounds,No,r,1,2,10,No,6,2.6,Academy,65,0,NA,NA,NA,NA
F10,3,68inches,190 pounds,No,r,3,3,5,No,5,3.7,Nobel,100,8,F,NA,NA,NA
F10,1,68inches,125 pounds,No,r,2,3,2,No,1,NA,Olympic,45,2,F,NA,NA,NA
F10,1,NAinches,130 pounds,No,r,2,3,4,No,5,NA,Academy,NA,2,F,NA,NA,NA
F10,1,72inches,125 pounds,No,r,2,1,22,No,2,NA,Nobel,70,2,F,NA,NA,NA
F10,1,67inches,150 pounds,No,r,2,2,7,No,2,NA,Olympic,70,2,F,NA,NA,NA
F10,2,72inches,195 pounds,No,r,1,1,8,No,5,3.5,Olympic,74,0,M,NA,NA,NA
F10,2,63inches,130 pounds,No,r,3,4,2,No,3,3.8,Nobel,100,2,F,NA,NA,NA
F10,3,73inches,167 pounds,Regular,r,1,1,12,No,6,2.8,Nobel,65,0,M,NA,NA,NA
F10,1,66inches,140 pounds,No,r,2,3,10,No,7,NA,Olympic,102,2,F,NA,NA,NA
F10,1,72inches,168 pounds,Occasionally,r,3,1,NA,NA,4,NA,Nobel,74,1,M,NA,NA,NA
F10,2,69inches,175 pounds,No,r,2,2,18,No,17,3,Olympic,90,0,M,NA,NA,NA
F10,2,68inches,120 pounds,No,r,2,1,10,Planning,4,3.3,Academy,64,4,F,NA,NA,NA
F10,2,59inches,165 pounds,No,r,1,2,10,No,3,2.8,Olympic,66,6,F,NA,NA,NA
F10,1,73inches,175 pounds,No,r,1,1,6,No,20,NA,Olympic,98,0,M,NA,NA,NA
F10,1,66inches,135 pounds,No,r,2,3,5,No,10,NA,Nobel,86,4,F,NA,NA,NA
F10,2,64inches,122 pounds,No,r,2,2,6,No,2,3.55,Nobel,72,4,F,NA,NA,NA
F10,2,74inches,178 pounds,Regular,l,2,3,30,No,15,2.5,Olympic,60,0,M,NA,NA,NA
F10,1,70inches,225 pounds,Occasionally,r,1,2,5,No,15,NA,Olympic,68,0,M,NA,NA,NA
F10,1,70inches,182 pounds,No,r,2,3,8,No,6,NA,Nobel,56,0,M,NA,NA,NA
F10,1,68inches,136 pounds,No,r,1,2,6,No,1,NA,Nobel,78,7,F,NA,NA,NA
F10,1,NAinches,NA pounds,No,r,0,1,1,No,4,NA,Academy,110,0,F,NA,NA,NA
F10,1,74inches,215 pounds,No,r,1,1,8,No,7,NA,Olympic,54,0,M,NA,NA,NA
F10,2,80inches,302 pounds,No,r,0,1,7,No,21,2.9,Nobel,74,0,M,NA,NA,NA
F10,2,74inches,185 pounds,No,r,2,2,21,No,2,3.1,Nobel,56,0,M,NA,NA,NA
F10,2,66inches,110 pounds,No,r,1,1,5,No,10,3.7,Nobel,92,2,F,NA,NA,NA
F10,1,NAinches,178 pounds,No,r,1,2,10,No,10,NA,Olympic,74,0,M,NA,NA,NA
F10,1,72inches,185 pounds,No,r,1,2,NA,No,5,NA,Olympic,78,0,M,NA,NA,NA
F10,2,NAinches,175 pounds,Occasionally,r,0,1,7,No,10,2.6,Olympic,68,0,M,NA,NA,NA
F10,2,66inches,140 pounds,Occasionally,r,1,2,10,No,7,3.6,Nobel,66,0,M,NA,NA,NA
F10,2,NAinches,130 pounds,No,r,4,3,4,No,4,2.15,Academy,44,2,F,NA,NA,NA
F10,1,63inches,120 pounds,No,r,2,2,3,No,4,NA,Academy,NA,2,F,NA,NA,NA
F10,2,62inches,120 pounds,No,r,3,1,8,Planning,0,3.6,Olympic,72,2,F,NA,NA,NA
F10,2,62inches,132 pounds,No,r,1,1,14,No,5,3.23,Olympic,60,2,F,NA,NA,NA
F10,2,61inches,110 pounds,No,l,3,4,10,No,7,3.25,Olympic,60,2,F,NA,NA,NA
F10,3,66inches,145 pounds,No,l,1,1,7,Yes,3,3.7,Academy,NA,6,F,NA,NA,NA
F10,2,70inches,203 pounds,Occasionally,r,0,1,14,No,0,2.96,Nobel,131,0,M,NA,NA,NA
F10,1,76inches,205 pounds,No,r,1,2,20,No,1,NA,Olympic,70,0,M,NA,NA,NA
F10,3,69inches,185 pounds,No,r,2,1,6,No,4,3.21,Nobel,92,3,F,NA,NA,NA
F10,2,63inches,116 pounds,No,r,2,2,6,No,5,3.78,Olympic,78,4,F,NA,NA,NA
F10,3,71inches,158 pounds,No,r,1,1,4,No,10,3.1,Academy,45,0,M,NA,NA,NA
F10,3,70inches,289 pounds,No,r,0,NA,5,No,0,3.4,Nobel,132,0,M,NA,NA,NA
F10,2,65inches,130 pounds,No,r,1,1,20,No,3,3.1,Olympic,80,2,F,NA,NA,NA
F10,2,66inches,145 pounds,No,r,2,3,10,No,5,3.69,Nobel,60,5,F,NA,NA,NA
F10,2,67inches,170 pounds,No,r,1,2,20,No,2,3.35,Nobel,64,2,F,NA,NA,NA
